State,Date,Total cases
Tamil Nadu,1,1755
Himachal Pradesh,1,40
Karnataka,1,474
Maharashtra,1,6817
Haryana,1,272
Kerala,1,450
Meghalaya,1,12
Uttar Pradesh,1,1621
Madhya Pradesh,1,1852
Jharkhand,1,57
Arunachal Pradesh,1,1
Bihar,1,223
Tripura,1,2
Chandigarh,1,27
Jammu and Kashmir,1,454
Daman and Diu,1,0
Gujarat,1,2815
Nagaland,1,0
Dadra and Nagar Haveli,1,0
Mizoram,1,1
Andaman and Nicobar,1,27
Uttarakhand,1,48
NCT of Delhi,1,2514
Lakshadweep,1,0
Chhattisgarh,1,36
Manipur,1,2
Puducherry,1,7
Assam,1,36
Telangana,1,984
Goa,1,7
Punjab,1,298
Sikkim,1,0
Odisha,1,94
West Bengal,1,571
Rajasthan,1,2034
Andhra Pradesh,1,955
Sikkim,2,0
Jharkhand,2,67
Daman and Diu,2,0
Uttarakhand,2,48
Himachal Pradesh,2,40
Maharashtra,2,7628
Karnataka,2,500
Goa,2,7
Arunachal Pradesh,2,1
Lakshadweep,2,0
Kerala,2,457
Chhattisgarh,2,37
Punjab,2,298
Haryana,2,289
Puducherry,2,7
Uttar Pradesh,2,1793
Assam,2,36
Telangana,2,991
Rajasthan,2,2083
Andhra Pradesh,2,1061
Meghalaya,2,12
NCT of Delhi,2,2625
Odisha,2,94
Bihar,2,243
Manipur,2,2
Tripura,2,2
Nagaland,2,0
Madhya Pradesh,2,2096
Gujarat,2,3071
Dadra and Nagar Haveli,2,0
Jammu and Kashmir,2,494
Chandigarh,2,28
Andaman and Nicobar,2,33
Tamil Nadu,2,1821
Mizoram,2,1
West Bengal,2,611
Sikkim,3,0
West Bengal,3,649
Uttarakhand,3,50
Uttar Pradesh,3,1868
Telangana,3,1002
Lakshadweep,3,0
Meghalaya,3,12
Jammu and Kashmir,3,523
Bihar,3,274
NCT of Delhi,3,2918
Madhya Pradesh,3,2096
Assam,3,36
Arunachal Pradesh,3,1
Chandigarh,3,30
Andhra Pradesh,3,1097
Mizoram,3,1
Dadra and Nagar Haveli,3,0
Haryana,3,289
Himachal Pradesh,3,40
Nagaland,3,0
Tamil Nadu,3,1885
Goa,3,7
Puducherry,3,7
Odisha,3,103
Chhattisgarh,3,37
Andaman and Nicobar,3,33
Daman and Diu,3,0
Kerala,3,458
Tripura,3,2
Rajasthan,3,2185
Punjab,3,313
Maharashtra,3,8068
Jharkhand,3,82
Manipur,3,2
Gujarat,3,3301
Karnataka,3,503
Mizoram,4,1
Goa,4,7
Dadra and Nagar Haveli,4,0
Nagaland,4,0
Odisha,4,118
Andhra Pradesh,4,1183
Chandigarh,4,40
Andaman and Nicobar,4,33
Maharashtra,4,8590
Tripura,4,2
Madhya Pradesh,4,2168
Bihar,4,345
Jammu and Kashmir,4,546
Manipur,4,2
Chhattisgarh,4,37
NCT of Delhi,4,3108
Meghalaya,4,12
Jharkhand,4,82
Lakshadweep,4,0
Punjab,4,313
Sikkim,4,0
Telangana,4,1004
Rajasthan,4,2262
Uttarakhand,4,51
Uttar Pradesh,4,1955
Tamil Nadu,4,1937
Puducherry,4,8
Haryana,4,296
West Bengal,4,697
Kerala,4,481
Daman and Diu,4,0
Himachal Pradesh,4,40
Arunachal Pradesh,4,1
Gujarat,4,3548
Karnataka,4,512
Assam,4,36
NCT of Delhi,5,3314
Bihar,5,366
Lakshadweep,5,0
Andaman and Nicobar,5,33
Andhra Pradesh,5,1259
Tamil Nadu,5,2058
Uttarakhand,5,54
Arunachal Pradesh,5,1
Maharashtra,5,9318
Karnataka,5,523
Assam,5,38
Gujarat,5,3744
Daman and Diu,5,0
Kerala,5,485
Chhattisgarh,5,38
Puducherry,5,8
Rajasthan,5,2364
Goa,5,7
West Bengal,5,725
Punjab,5,322
Telangana,5,1004
Tripura,5,2
Uttar Pradesh,5,2053
Odisha,5,118
Sikkim,5,0
Haryana,5,310
Himachal Pradesh,5,40
Jammu and Kashmir,5,565
Nagaland,5,0
Madhya Pradesh,5,2387
Chandigarh,5,56
Mizoram,5,1
Manipur,5,2
Jharkhand,5,103
Dadra and Nagar Haveli,5,0
Meghalaya,5,12
Manipur,6,2
Tripura,6,2
Nagaland,6,0
Andaman and Nicobar,6,33
Maharashtra,6,9915
Jharkhand,6,107
Goa,6,7
Arunachal Pradesh,6,1
Bihar,6,392
Rajasthan,6,2438
Karnataka,6,535
Punjab,6,357
Telangana,6,1012
Uttar Pradesh,6,2134
Tamil Nadu,6,2162
Assam,6,38
Dadra and Nagar Haveli,6,0
NCT of Delhi,6,3439
Mizoram,6,1
Chandigarh,6,56
Madhya Pradesh,6,2561
Daman and Diu,6,0
Lakshadweep,6,0
Himachal Pradesh,6,40
Puducherry,6,8
Gujarat,6,4082
Haryana,6,310
Chhattisgarh,6,38
Jammu and Kashmir,6,581
Sikkim,6,0
Andhra Pradesh,6,1332
Odisha,6,125
Meghalaya,6,12
Uttarakhand,6,55
West Bengal,6,758
Kerala,6,495
Himachal Pradesh,7,40
Gujarat,7,4395
Sikkim,7,0
Lakshadweep,7,0
Haryana,7,313
Chhattisgarh,7,40
Goa,7,7
Assam,7,42
NCT of Delhi,7,3515
Uttar Pradesh,7,2281
West Bengal,7,795
Arunachal Pradesh,7,1
Bihar,7,426
Dadra and Nagar Haveli,7,0
Meghalaya,7,12
Mizoram,7,1
Madhya Pradesh,7,2719
Jammu and Kashmir,7,614
Chandigarh,7,56
Tripura,7,2
Andhra Pradesh,7,1463
Manipur,7,2
Uttarakhand,7,57
Maharashtra,7,10498
Rajasthan,7,2584
Jharkhand,7,111
Karnataka,7,576
Odisha,7,143
Nagaland,7,0
Punjab,7,357
Andaman and Nicobar,7,33
Kerala,7,497
Tamil Nadu,7,2323
Puducherry,7,8
Telangana,7,1039
Daman and Diu,7,0
Dadra and Nagar Haveli,8,0
Nagaland,8,0
West Bengal,8,795
Maharashtra,8,11506
Bihar,8,471
Assam,8,43
Chhattisgarh,8,43
Mizoram,8,1
Andaman and Nicobar,8,33
Madhya Pradesh,8,2719
Kerala,8,498
Jammu and Kashmir,8,639
Chandigarh,8,88
Arunachal Pradesh,8,1
Gujarat,8,4721
Tripura,8,2
Daman and Diu,8,0
Meghalaya,8,12
Lakshadweep,8,0
NCT of Delhi,8,3738
Punjab,8,772
Uttar Pradesh,8,2455
Telangana,8,1057
Manipur,8,2
Haryana,8,360
Jharkhand,8,111
Rajasthan,8,2666
Uttarakhand,8,58
Sikkim,8,0
Odisha,8,154
Karnataka,8,598
Goa,8,7
Tamil Nadu,8,2526
Puducherry,8,8
Himachal Pradesh,8,40
Andhra Pradesh,8,1525
Punjab,9,772
Uttarakhand,9,59
Odisha,9,160
Kerala,9,500
Uttar Pradesh,9,2626
Assam,9,43
Arunachal Pradesh,9,1
Telangana,9,1063
Haryana,9,394
Chandigarh,9,94
Dadra and Nagar Haveli,9,0
Goa,9,7
Mizoram,9,1
Himachal Pradesh,9,40
Meghalaya,9,12
Daman and Diu,9,0
Puducherry,9,8
Jharkhand,9,115
Rajasthan,9,2772
Tamil Nadu,9,2757
Sikkim,9,0
Bihar,9,482
Karnataka,9,606
Chhattisgarh,9,43
NCT of Delhi,9,4122
Nagaland,9,0
Maharashtra,9,12296
West Bengal,9,922
Andaman and Nicobar,9,33
Andhra Pradesh,9,1583
Madhya Pradesh,9,2846
Lakshadweep,9,0
Gujarat,9,5055
Manipur,9,2
Jammu and Kashmir,9,666
Tripura,9,4
Goa,10,7
Dadra and Nagar Haveli,10,0
Himachal Pradesh,10,40
Chhattisgarh,10,57
Haryana,10,442
Punjab,10,1102
Assam,10,43
Andhra Pradesh,10,1583
Tamil Nadu,10,3023
NCT of Delhi,10,4549
Uttar Pradesh,10,2645
West Bengal,10,963
Odisha,10,162
Karnataka,10,614
Jharkhand,10,115
Telangana,10,1082
Tripura,10,16
Lakshadweep,10,0
Madhya Pradesh,10,2846
Kerala,10,500
Gujarat,10,5428
Jammu and Kashmir,10,701
Uttarakhand,10,60
Andaman and Nicobar,10,33
Daman and Diu,10,0
Rajasthan,10,2886
Sikkim,10,0
Maharashtra,10,12974
Mizoram,10,1
Manipur,10,2
Bihar,10,503
Puducherry,10,8
Arunachal Pradesh,10,1
Meghalaya,10,12
Chandigarh,10,94
Nagaland,10,0
Kerala,11,500
Gujarat,11,5804
Nagaland,11,0
Uttar Pradesh,11,2766
Odisha,11,169
Karnataka,11,651
Andaman and Nicobar,11,33
